clusterId,topicName,hashtags
100,,fbi law puertorico legal cia usmilitary noballsdonnie womenshealth,220
101,,copolitics covid19colorado doingmypartco coleg cohealth,216
102,,factsnotfear hounews morningrushatl khou kprc2,205
103,,dailyvoice cuny suny hudsonvalley,201
104,,smh prayfortheworld prayers stopcoronavirus endcoronavirus prayerrequest,197
105,,demdebate democraticdebate demdebate2020,197
106,,vintage etsy wedding collectibles antiques housewares 90s,196
107,,firstresponders police ems firefighters firefighter emt,196
108,,usmc impeached usnavy usarmy mormons protestants baptists evangelists usairforce,184
109,,fraud scams scam scammers alert,173
110,,wtp2020 wtpebrc healthcaretoday wtp229 wtp230,173
111,,target the will me time i get this to,165
